"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW7";"SW_Slide_SPDT_Angled_CK_OS102011MA1Q";1;"RST_A5";;;
2;"SW9";"SW_CK_JS202011AQN_DPDT_Angled";1;"AMP_ON_OFF";;;
3;"SW8";"SW_Slide_SPDT_Angled_CK_OS102011MA1Q";1;"BUZZER";;;
4;"C4,C10";"CP_Elec_6.3x7.7";2;"220uF";;;
5;"D1";"LED_D3.0mm";1;"5VR";;;
6;"J7";"Audio Jack 3.5 PCB";1;"Audio_OUT";;;
7;"VOL1,BUZZ1";"Potentiometer_Piher_PT-6-V_Vertical";2;"10K";;;
8;"SW1";"SW_PUSH_6mm";1;"UP";;;
9;"SW2";"SW_PUSH_6mm";1;"DOWN";;;
10;"SW3";"SW_PUSH_6mm";1;"PLAY/PAUSE";;;
11;"SW4";"SW_PUSH_6mm";1;"STOP";;;
12;"SW5";"SW_PUSH_6mm";1;"MENU";;;
13;"SW6";"SW_PUSH_6mm";1;"RST_A5";;;
14;"BZ1";"Buzzer_12x9.5RM7.6";1;"Buzzer";;;
15;"J5";"PinHeader_1x04_P2.54mm_Vertical";1;"LED_OLED";;;
16;"J8";"Audio Jack 3.5 PCB";1;"Remote";;;
17;"D2";"LED_D3.0mm";1;"AMPY";;;
18;"D3";"LED_D3.0mm";1;"BUZY";;;
19;"J2";"Jack_2.5mm_Mono_Horizontal_Mini";1;"Remote2";;;
20;"U1";"Arduino_Mega2560Pro_Embed";1;"Arduino_Mega2560Pro_Embed";;;
21;"D4";"LED_D3.0mm";1;"DATA";;;
22;"H1,H2,H3,H4";"MountingHole_2.7mm_M2.5_Pad_Via";4;"MHole";;;
23;"J3";"PinHeader_2x04_P2.54mm_Vertical";1;"LR_REM_SEL";;;
24;"U3";"microSD_HC_Molex_104031-0811";1;"microSD";;;
25;"C5,C9";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"47nF";;;
26;"C3,C8";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10nf";;;
27;"C2,C7,C11,C12,C14";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";5;"100nF";;;
28;"R1,R2,R6,R9";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"220R";;;
29;"R4,R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"1K";;;
30;"R5,R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"10R";;;
31;"U4,U5";"SOIC-8_3.9x4.9mm_P1.27mm";2;"LM386";;;
32;"C6,C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"100nf";;;
33;"U2";"SOIC-14_3.9x8.7mm_P1.27mm";1;"TXB0104DR";;;
